DIRECCION_BASE	count
AV AVENIDA CARACAS-CL 13	36
AV AVENIDA CIUDAD DE VILLAVICENCIO-KR 78	36
AV AVENIDA BOYACA-CL 22D	36
AV AVENIDA BOYACA-CL 56A S	36
CL 6-KR 19	36
AK 45-CL 147	36
AC 80-KR 72	36
KR 45-CL 192	36
KR 10-CL 22	36
CL 19-KR 25	36
AV AVENIDA DEL SUR-KR 73I	36
AK 68-CL 19	36
KR 30-CL 79	36
AV AVENIDA DE LAS AMERICAS-KR 73	35
CL 19-KR 30	35
TR 93-CL 52	35
CL 127-KR 19	35
KR 30-CL 73	35
KR 10-CL 11	35
AV AVENIDA BOYACA-CL 2	35
AK 68-CL 9	35
AV AVENIDA CIUDAD DE CALI-KR 91	35
AV AVENIDA DEL SUR-KR 75	35
AV AVENIDA DE LAS AMERICAS-KR 86	35
AK 45-CL 175	35
AV AVENIDA CARACAS-CL 26	35
KR 7-CL 34	35
AV AVENIDA CARACAS-CL 57	35
CL 170-KR 92	35
KR 7-CL 123	35
KR 45-CL 209	35
CL 69-KR 15	35
CL 63-KR 37	35
KR 7-CL 98	35
AV AVENIDA PRIMERA DE MAYO-KR 72	35
KR 50-CL 17	35
AK 30-CL 22	35
KR 30-CL 63C	35
CL 26-KR 59	35
KR 7-CL 51	34
AV AVENIDA PRIMERO DE MAYO-KR 68	34
AV AVENIDA CARACAS-CL 11 S	34
KR 86-CL 72	34
AK 30-CL 40A	34
KR 30-CL 40	34
AK 68-CL 10	34
CL 26-KR 68B	34
KR 68D-CL 13	34
AK 30-CL 68	34
AK 30-CL 13	34
CL 13-KR 17	34
KR 13-CL 53	34
AK 45-CL 118	34
AV AVENIDA DE LAS AMERICAS-KR 80	34
AV AVENIDA BOYACA-CL 26 S	34
CL 53-KR 45	34
CL 80-KR 69H	34
KR 7-CL 65	34
AV AVENIDA BOYACA-CL 64	34
AV AVENIDA DE LAS AMERICAS-KR 79	34
AV AVENIDA BOYACA-CL 163	34
AV AVENIDA DE LAS AMERICAS-AV AVENIDA CIUDAD DE CALI	34
AK 45-CL 114	34
AV AVENIDA CIRCUNVALAR-CL 85	34
KR 7-CL 78	34
AK 45-CL 137	34
KR 27-CL 17 S	34
KR 30-CL 57	34
AV AVENIDA CIUDAD DE CALI-CL 11	34
CL 72-KR 11	34
AK 45-CL 122	33
KR 68-CL 22	33
KR 68-CL 12	33
AV AVENIDA DEL SUR-KR 62B	33
CL 72-KR 13	33
KR 27-CL 8 S	33
KR 45-CL 142	33
KR 7-CL 80	33
CL 183-KR 45	33
AV AVENIDA DEL SUR-KR 60	33
KR 15-CL 112	33
KR 45-CL 95	33
CL 72-KR 75	33
AK 45-CL 93	33
CL 19-KR 27	33
CL 63-KR 24	33
AV AVENIDA CIUDAD DE VILLAVICENCIO-KR 38	33
KR 7-CL 147	33
AV AVENIDA CIUDAD DE CALI-CL 15	33
CL 13-KR 96	33
CL 100-KR 22	33
AK 68-CL 98	33
CL 170-KR 8	33
CL 72-KR 9	33
CL 59-KR 78 S	33
AV AVENIDA CARACAS-CL 51	33
AV AVENIDA DEL SUR-KR 70	33
AV AVENIDA BOYACA-CL 52	33
KR 68-CL 75	32
KR 10-CL 7	32
CL 80-KR 73A	32
KR 30-CL 11	32
KR 45-CL 193	32
KR 7-CL 114	32
AV AVENIDA CIUDAD DE CALI-CL 40B S	32
CL 48C-KR 24 S	32
CL 59-KR 77G S	32
AV AVENIDA CIUDAD DE CALI-CL 49 S	32
CL 63-KR 72	32
AV AVENIDA BOYACA-CL 11A	32
AV AVENIDA BOYACA-CL 44D S	32
AK 30-CL 3	32
AK 45-CL 207	32
CL 37-KR 4 SE	32
CL 170-KR 55	32
AV AVENIDA CIUDAD DE CALI-CL 53 S	32
AC 26-KR 96	32
KR 11-CL 92	32
CL 80-KR 101	32
AV AVENIDA CIUDAD DE CALI-CL 93	32
KR 30-CL 63A	32
AV AVENIDA CARACAS-CL 32 S	32
CL 17-KR 106	32
CL 127-KR 46	31
CL 76-KR 14	31
AV AVENIDA CARACAS-CL 74	31
AV AVENIDA CIUDAD DE CALI-KR 93	31
AK 30-CL 12	31
KR 7-CL 76	31
CL 170-KR 68	31
KR 50-CL 132	31
AV AVENIDA CARACAS-CL 53	31
CL 72-KR 70G	31
KR 24-CL 6	31
KR 30-CL 22 S	31
AV AVENIDA DEL SUR-CL 65 S	31
KR 45-CL 118	31
AK 45-CL 215	31
AV AVENIDA CIUDAD DE CALI-CL 17	31
CL 6-KR 14	31
CL 165-KR 7	31
AK 68-CL 22	31
CL 26-KR 5	31
CL 72-KR 105F	31
KR 80-DG 2	31
KR 7-CL 46	31
AV AVENIDA PRIMERO DE MAYO-KR 24	31
KR 70-CL 53	31
AK 68-CL 24	31
CL 51-KR 9 S	31
KR 92-CL 170	31
