	Address	Latitude	Longitude
332	AV AVENIDA CIRCUNVALAR-CL 51 S	4.65030236	-74.04851941
333	KR 75-CL 13	4.6025101	-74.0801145
334	CL 66A-KR 18QBIS S	4.6571116	-74.06955115
335	CL 40B-KR 87F S	4.635169	-74.1680436
336	KR 69J-CL 64C	4.67356385	-74.09705025
337	KR 72A-CL 55	4.6420775	-74.06439995
338	KR 49-CL 16	4.607565	-74.0801366
339	CL 64-KR 17 S	4.605795	-74.1204709
340	CL 46B-KR 7A SE	4.63234948	-74.05847325
341	KR 8C-CL 164C	4.7417316	-74.0271023
342	TR 42-CL 38ABIS S	4.568424	-74.1711948
343	KR 50-CL 74A	4.677741	-74.0830849
344	KR 102-CL 69 S	4.6881003	-74.1032759
345	CL 4A-KR 69C	4.61915285	-74.11641605
346	CL 48R-KR 2D S	4.6377999	-74.0769489
347	KR 14C-CL 44 S	4.631718	-74.0684399
348	TR 80G-CL 66 S	4.69510845	-74.1196873
349	CL 14A-KR 81A	4.67872224	-74.16576634
350	CL 21-KR 108A	4.684503	-74.0299469
351	KR 147B-CL 89	4.7423322	-74.0824086
352	TR 18H-AC 14A S	-9.9855697	-67.8920548
353	CL 43BIS-KR 18F S	4.5849644	-74.1014017
354	DG 127-AK 7C	4.6627695	-74.0491827
355	KR 75G-DG 60 S	4.7299994	-74.0247268
356	CL 65-KR 99A S	4.6976609	-74.1245398
357	CL 180-KR 17B	4.7565067	-74.03585115
358	AV AVENIDA BOYACA-KR 124	4.67066904	-74.10762972
359	KR 12B-CL 27A	4.63070995	-74.0820116
360	AC 39-KR 22	4.6711251	-74.1337535
361	KR 14-CL 46 ES	4.6472625	-74.08798425
362	CL 42F-KR 99B S	4.62922305	-74.06461955
363	KR 72A-CL 104	4.69155305	-74.0582452
364	KR 68A-CL 24CBIS	9.29571	-75.4066589
365	KR 1-CL 32C ES	4.599879	-74.10787225
366	KR 80-CL 8F	4.6406671	-74.1455602
367	CL 10-KR 14A S	4.587495	-74.094599
368	KR 72A-CL 44F S	4.64374702	-74.09168326
369	KR 87-CL 70 S	4.694494	-74.10948155
370	AC 1-KR 22	4.7009213	-74.0987761
371	KR 95-CL 151	4.7475037	-74.0860661
372	CL 57-KR 56 S	4.64676548	-74.08266363
373	KR 24-CL 34C S	4.6241751	-74.0758143
374	CL 61B-KR 19A S	4.58800248	-74.18128001
375	CL 78B-KR 17A S	4.61688255	-74.12918895
376	CL 43A-KR 12A S	4.6055352	-74.1523817
377	KR 14B-CL 136	4.73769575	-74.0944264
378	CL 37A-KR 50 S	4.62598765	-74.07054011
379	CL 92-KR 79 S	4.681118	-74.0669999
380	KR 27H-CL 71D ES	4.68306485	-74.097007
381	CL 100B-KR 13	4.6842328	-74.0456926
382	CL 22A-KR 1B S	4.6653305	-74.12887695
383	TR 51-DG 48F S	4.67430845	-74.1122948
384	CL 42B-KR 89C S	4.5997014	-74.2007638
385	CL 45-TR 72D S	4.64532565	-74.0867986
386	AV AVENIDA CIUDAD DE VILLAVICENCIO-KR 86C	4.5698837	-74.1272438
387	KR 96A-CL 130F	4.7303983	-74.0262389
388	CL 86-KR 79A	4.71789825	-74.1091782
389	KR 3-CL 45C	4.6487344	-74.09194885
390	CL 173-KR 18	4.75334225	-74.0425712
391	CL 24-KR 121A	4.6934573	-74.1499874
392	CL 35-KR 78B S	4.62288635	-74.06792465
393	KR 111A-CL 151G	4.72468876	-74.02376005
394	CL 64-KR 37A S	4.65630805	-74.07176955
395	AV AVENIDA DE LAS AMERICAS-AC 74	4.6254635	-74.0849579
396	TR 21-CL 46	4.63250259	-74.06327197
397	KR 80C-CL 65	4.65899565	-74.0748504
398	CL 93-KR 41	4.67623036	-74.05107294
399	DG 32F-AK 12B S	4.615819	-74.12759
400	KR 40A-CL 30	4.61576975	-74.066489
401	CL 110-KR 64D	4.68865215	-74.03502755
402	CL 38-KR 13B SE	4.624466	-74.0681009
403	AC 3-KR 65A	4.74009866	-74.03014846
404	CL 64B-KR 105H	4.69970995	-74.12827095
405	KR 70C-CL 101	4.6967804	-74.07621385
406	CL 148-KR 14	4.725515	-74.0300239
407	TR 77-CL 68D S	4.677111	-74.088974
408	CL 86C-KR 49D	4.6774596	-74.0659037
409	KR 24C-CL 24 S	4.60788114	-74.06668142
410	KR 86-CL 61A S	4.64862005	-74.06498985
411	KR 5-CL 82 S	4.666913	-74.055469
412	KR 91A-CL 38C S	4.6050808	-74.13632105
413	CL 61A-KR 17	4.6490117	-74.0681687
414	AC 45-KR 62A S	4.648452	-74.0843319
415	AC 43-KR 81A S	4.6239127	-74.167982
416	CL 24-KR 123C	4.68817835	-74.1427088
417	DG 33-KR 17	4.621327	-74.0903769
418	CL 65B-KR 72	4.6757286	-74.0841005
419	DG 36-KR 10 SE	4.619806	-74.0959239
420	KR 14BIS-CL 73D S	4.68363065	-74.08888865
421	KR 108B-CL 23H	4.6868687	-74.1414709
422	KR 7A-CL 148	4.7305665	-74.04478475
423	CL 127A-KR 71A	4.7107493	-74.077138
424	CL 23J-KR 96K	4.6791252	-74.1333313
425	AV AVENIDA DEL SUR-CL 67B	4.68033915	-74.09645665
426	KR 96B-CL 18	4.6043693	-74.07188085
427	KR 5-CL 94 ES	4.68318505	-74.06833395
428	KR 110C-CL 75B	4.7139028	-74.1232669
429	KR 1A-CL 42	4.6529629	-74.10162095
430	KR 64A-CL 4B	4.62335005	-74.1213738
431	DG 51ABIS-TR 7 SE	41.0308018	-74.1072632
432	TR 22-AC 1	4.6634751	-74.0489151
433	KR 15-CL 114	4.6921809	-74.03311125
434	CL 75-KR 75A	4.69401755	-74.09729575
435	KR 73A-CL 10A	4.643684	-74.1366249
436	KR 80-CL 4A S	4.6195277	-74.11686475
437	CL 69R-KR 18L	4.60421568	-74.07167049
438	KR 38-CL 12	4.6186355	-74.1003685
439	CL 33-KR 85 S	4.62173265	-74.072495
440	KR 87-CL 129B	4.7276662	-74.0941405
441	TR 60-AC 69 S	4.7106697	-74.0731799
442	CL 42A-TR 78H S	4.6529629	-74.10162095
443	CL 32B-KR 10 SE	4.616559	-74.0623609
444	KR 29-CL 52 S	4.5747486	-74.178463
445	KR 8-CL 41 ES	4.6287892	-74.0663359
446	KR 38A-CL 1B	4.605619	-74.112523
447	KR 12-CL 7	4.76710009	-74.0275293
448	DG 13BIS-AK 24C S	4.65076945	-74.1363221
449	KR 19A-CL 163	4.7391005	-74.02830445
450	KR 94-CL 81 S	4.5666575	-74.17113545
451	KR 62-CL 169A	4.7472451	-74.0346498
452	CL 49B-KR 6 S	4.6345596	-74.05628415
453	KR 5B-CL 48C S	4.63462615	-74.0634625
454	CL 38-KR 6C SE	4.62645885	-74.0701578
455	KR 69C-CL 7B	4.7299908	-74.0252655
456	CL 80-KR 78A S	4.71363205	-74.1184675
457	KR 23A-CL 1F	4.5957867	-74.095394
